parent_category,category_name
Tv & Home Theater,55-Inch Tvs
Tv & Home Theater,65-Inch Tvs
Tv & Home Theater,75-Inch Tvs
Indoor & Live Plants,Annuals
Wearable Technology,Apple Watch
Grocery,Bakery & Bread
Kitchen Cabinets,Base Cabinets
Sports,Baseball
Sports,Basketball
Sleepwear,Bath Robes
Root,Beauty Products
Meat & Seafood,Beef & Lamb
Sports & Outdoors,Bikes
Tops,Bodysuits
Clothing,Bottoms
Exercise & Fitness,Boxing & Mma
Makeup,Brushes & Applicators
Pets,Cat 
Cat ,Cat Dry Food
Cat ,Cat Wet Food
Electrical Supplies,Cell Phones
Cat ,Climbing Trees
Root,Clothing
Bakery & Bread,Cookies & Brownies
Kitchen & Cooking Accessories,Cooking Accessories
Health Care,"Cough, Cold & Flu"
Pets,Dog
Dog,Dog Beds
Dog,Dog Dry Food
Dog,Dog Wet Food
Bikes,Electric
Root,Electrical Supplies
Sports & Outdoors,Exercise & Fitness
Exercise & Fitness,Exercise Machines
Health Care,Eye Care
Makeup,Face
Grocery,Fresh Produce
Root,Grocery
Wearable Technology,Headphones
"Pharmacy, Health & Wellness",Health Care
Kitchen Cabinets,High Cabinets
Patio & Garden,Indoor & Live Plants
Indoor & Live Plants,Indoor Plants
Cell Phones,Iphone
Bottoms,Jeans
Toys,Kidkraft Bancroft Wooden Playhouse
Root,Kitchen & Appliances
Kitchen & Appliances,Kitchen & Cooking Accessories
Kitchen & Appliances,Kitchen Cabinets
Kitchen Faucets & Sinks,Kitchen Faucets
Kitchen & Appliances,Kitchen Faucets & Sinks
Kitchen Faucets & Sinks,Kitchen Sinks
Kitchen & Cooking Accessories,Kitchen Utensils
Makeup,Lip
Tops,Long Sleeves
Beauty Products,Makeup
Grocery,Meat & Seafood
Kitchen & Cooking Accessories,Mixing & Measuring Tools
Bikes,Mountain
Outdoor Decor,Outdoor Cushions
Patio & Garden,Outdoor Decor
Outdoor Decor,Outdoor Lighting
Toys & Video Games ,Outdoor Play
Health Care,Pain Relievers
Bottoms,Pants
Root,Patio & Garden
Patio Furniture,Patio Conversation Sets
Patio Furniture,Patio Dining Sets
Patio & Garden,Patio Furniture
Wellness,Performance Nutrition
Root,Pets
Root,"Pharmacy, Health & Wellness"
Bakery & Bread,Pies
Indoor & Live Plants,Plant Gifts
Video Games,Playstation
Patio Furniture,Porch Swings
Meat & Seafood,Pork
Bakery & Bread,Rolls & Buns
Cell Phones,Samsung
Meat & Seafood,Seafood
Bottoms,Skirts
Wellness,Sleep Support
Clothing,Sleepwear
Sports & Outdoors,Sports
Root,Sports & Outdoors
Sports,Tennis
Clothing,Tops
Toys & Video Games ,Toys
Root,Toys & Video Games 
Tops,T-Shirts
Electrical Supplies,Tv & Home Theater
Toys & Video Games ,Video Games
Kitchen Cabinets,Wall Cabinets
Electrical Supplies,Wearable Technology
Wellness,Weight Loss
"Pharmacy, Health & Wellness",Wellness
Wearable Technology,Wireless Headphones
Exercise & Fitness,Yoga